,year,month,day,hour,city,dewp,pres,temp,cbwd,iws,pm2.5,is,ir,date_time
0,2010,1,2,0,beijing_2,-16.0,1020.0,-4.0,SE,1.79,129.0,0.0,0.0,2010-01-02 00:00:00
1,2010,1,2,1,beijing_2,-15.0,1020.0,-4.0,SE,2.68,148.0,0.0,0.0,2010-01-02 01:00:00
2,2010,1,2,2,beijing_2,-11.0,1021.0,-5.0,SE,3.57,159.0,0.0,0.0,2010-01-02 02:00:00
3,2010,1,2,3,beijing_2,-7.0,1022.0,-5.0,SE,5.36,181.0,1.0,0.0,2010-01-02 03:00:00
4,2010,1,2,4,beijing_2,-7.0,1022.0,-5.0,SE,6.25,138.0,2.0,0.0,2010-01-02 04:00:00
5,2010,1,2,5,beijing_2,-7.0,1022.0,-6.0,SE,7.14,109.0,3.0,0.0,2010-01-02 05:00:00
6,2010,1,2,6,beijing_2,-7.0,1023.0,-6.0,SE,8.93,105.0,4.0,0.0,2010-01-02 06:00:00
7,2010,1,2,7,beijing_2,-7.0,1024.0,-5.0,SE,10.72,124.0,0.0,0.0,2010-01-02 07:00:00
8,2010,1,2,8,beijing_2,-8.0,1024.0,-6.0,SE,12.51,120.0,0.0,0.0,2010-01-02 08:00:00
9,2010,1,2,9,beijing_2,-7.0,1025.0,-5.0,SE,14.3,132.0,0.0,0.0,2010-01-02 09:00:00
10,2010,1,2,10,beijing_2,-7.0,1026.0,-5.0,SE,17.43,140.0,1.0,0.0,2010-01-02 10:00:00
11,2010,1,2,11,beijing_2,-8.0,1026.0,-5.0,SE,20.56,152.0,0.0,0.0,2010-01-02 11:00:00
12,2010,1,2,12,beijing_2,-8.0,1026.0,-5.0,SE,23.69,148.0,0.0,0.0,2010-01-02 12:00:00
13,2010,1,2,13,beijing_2,-8.0,1025.0,-5.0,SE,27.71,164.0,0.0,0.0,2010-01-02 13:00:00
14,2010,1,2,14,beijing_2,-9.0,1025.0,-5.0,SE,31.73,158.0,0.0,0.0,2010-01-02 14:00:00
15,2010,1,2,15,beijing_2,-9.0,1025.0,-5.0,SE,35.75,154.0,0.0,0.0,2010-01-02 15:00:00
16,2010,1,2,16,beijing_2,-9.0,1026.0,-5.0,SE,37.54,159.0,0.0,0.0,2010-01-02 16:00:00
17,2010,1,2,17,beijing_2,-8.0,1027.0,-5.0,SE,39.33,164.0,0.0,0.0,2010-01-02 17:00:00
18,2010,1,2,18,beijing_2,-8.0,1027.0,-5.0,SE,42.46,170.0,0.0,0.0,2010-01-02 18:00:00
19,2010,1,2,19,beijing_2,-8.0,1028.0,-5.0,SE,44.25,149.0,0.0,0.0,2010-01-02 19:00:00
20,2010,1,2,20,beijing_2,-7.0,1028.0,-5.0,SE,46.04,154.0,0.0,0.0,2010-01-02 20:00:00
21,2010,1,2,21,beijing_2,-7.0,1027.0,-5.0,SE,49.17,164.0,1.0,0.0,2010-01-02 21:00:00
22,2010,1,2,22,beijing_2,-8.0,1028.0,-6.0,SE,52.3,156.0,2.0,0.0,2010-01-02 22:00:00
23,2010,1,2,23,beijing_2,-8.0,1027.0,-6.0,SE,55.43,126.0,3.0,0.0,2010-01-02 23:00:00
24,2010,1,3,0,beijing_2,-7.0,1027.0,-6.0,SE,58.56,90.0,4.0,0.0,2010-01-03 00:00:00
25,2010,1,3,1,beijing_2,-8.0,1026.0,-6.0,SE,61.69,63.0,5.0,0.0,2010-01-03 01:00:00
26,2010,1,3,2,beijing_2,-8.0,1026.0,-7.0,SE,65.71,65.0,6.0,0.0,2010-01-03 02:00:00
27,2010,1,3,3,beijing_2,-8.0,1025.0,-7.0,SE,68.84,55.0,7.0,0.0,2010-01-03 03:00:00
28,2010,1,3,4,beijing_2,-8.0,1024.0,-7.0,SE,72.86,65.0,8.0,0.0,2010-01-03 04:00:00
29,2010,1,3,5,beijing_2,-9.0,1024.0,-8.0,SE,76.88,83.0,9.0,0.0,2010-01-03 05:00:00
30,2010,1,3,6,beijing_2,-10.0,1024.0,-8.0,SE,80.9,91.0,10.0,0.0,2010-01-03 06:00:00
31,2010,1,3,7,beijing_2,-10.0,1024.0,-9.0,SE,84.92,86.0,11.0,0.0,2010-01-03 07:00:00
32,2010,1,3,8,beijing_2,-10.0,1024.0,-9.0,SE,89.84,82.0,12.0,0.0,2010-01-03 08:00:00
33,2010,1,3,9,beijing_2,-11.0,1023.0,-9.0,SE,93.86,86.0,13.0,0.0,2010-01-03 09:00:00
34,2010,1,3,10,beijing_2,-11.0,1023.0,-9.0,SE,97.88,78.0,15.0,0.0,2010-01-03 10:00:00
35,2010,1,3,11,beijing_2,-11.0,1022.0,-9.0,SE,102.8,98.0,16.0,0.0,2010-01-03 11:00:00
36,2010,1,3,12,beijing_2,-11.0,1021.0,-9.0,SE,105.93,107.0,17.0,0.0,2010-01-03 12:00:00
37,2010,1,3,13,beijing_2,-11.0,1020.0,-9.0,SE,111.74,90.0,19.0,0.0,2010-01-03 13:00:00
38,2010,1,3,14,beijing_2,-11.0,1020.0,-9.0,SE,116.66,96.0,20.0,0.0,2010-01-03 14:00:00
39,2010,1,3,15,beijing_2,-11.0,1020.0,-9.0,SE,121.58,95.0,21.0,0.0,2010-01-03 15:00:00
40,2010,1,3,16,beijing_2,-11.0,1020.0,-9.0,SE,124.71,86.0,22.0,0.0,2010-01-03 16:00:00
41,2010,1,3,17,beijing_2,-11.0,1020.0,-9.0,SE,127.84,70.0,23.0,0.0,2010-01-03 17:00:00
42,2010,1,3,18,beijing_2,-11.0,1021.0,-9.0,CV,0.89,61.0,24.0,0.0,2010-01-03 18:00:00
43,2010,1,3,19,beijing_2,-11.0,1022.0,-9.0,CV,1.78,53.0,25.0,0.0,2010-01-03 19:00:00
44,2010,1,3,20,beijing_2,-10.0,1022.0,-9.0,NW,4.02,71.0,26.0,0.0,2010-01-03 20:00:00
45,2010,1,3,21,beijing_2,-11.0,1023.0,-10.0,NW,7.15,72.0,27.0,0.0,2010-01-03 21:00:00
46,2010,1,3,22,beijing_2,-11.0,1023.0,-9.0,NW,11.17,76.0,0.0,0.0,2010-01-03 22:00:00
47,2010,1,3,23,beijing_2,-12.0,1023.0,-11.0,NW,14.3,73.0,0.0,0.0,2010-01-03 23:00:00
48,2010,1,4,0,beijing_2,-14.0,1023.0,-12.0,NW,16.09,79.0,0.0,0.0,2010-01-04 00:00:00
49,2010,1,4,1,beijing_2,-16.0,1023.0,-9.0,NW,21.9,58.0,0.0,0.0,2010-01-04 01:00:00
50,2010,1,4,2,beijing_2,-17.0,1024.0,-10.0,NW,29.95,25.0,0.0,0.0,2010-01-04 02:00:00
51,2010,1,4,3,beijing_2,-18.0,1024.0,-11.0,NW,39.78,26.0,0.0,0.0,2010-01-04 03:00:00
52,2010,1,4,4,beijing_2,-19.0,1025.0,-11.0,NW,48.72,28.0,0.0,0.0,2010-01-04 04:00:00
53,2010,1,4,5,beijing_2,-20.0,1026.0,-12.0,NW,55.87,26.0,0.0,0.0,2010-01-04 05:00:00
54,2010,1,4,6,beijing_2,-21.0,1027.0,-12.0,NW,64.81,20.0,0.0,0.0,2010-01-04 06:00:00
55,2010,1,4,7,beijing_2,-21.0,1027.0,-13.0,NW,73.75,29.0,0.0,0.0,2010-01-04 07:00:00
